Country,Category,emissions
Germany,3.G  Liming,2140.05
Germany,4.  Land Use Land-Use Change and Forestry,-26931.73
Germany,4.A  Forest Land,-66999.31
Germany,4.B  Cropland,16475.09
Germany,4.C  Grassland,15935.21
Germany,4.D  Wetlands,4382.73
Germany,4.E  Settlements,6209.06
Germany,4.G  Harvested Wood Products,-3239.37
Germany,5.  Waste,9728.43
Germany,5.A  Solid Waste Disposal,7578.4
Germany,5.B  Biological Treatment of Solid Waste,1035.45
Germany,5.D  Wastewater Treatment and Discharge,1043.46
Italy,1.  Energy,344328.09
Italy,1.AA  Fuel Combustion - Sectoral approach,337528.77
Italy,1.A.1  Energy Industries,95805.32
Italy,1.A.1.a  Public Electricity and Heat Production,70302.72
Italy,1.A.1.b  Petroleum Refining,19838.92
Italy,1.A.1.c  Manufacture of Solid Fuels and Other Energy Industries,5663.68
Italy,1.A.2  Manufacturing Industries and Construction,53936.41
Italy,1.A.2.a  Iron and Steel,10106.84
Italy,1.A.2.b  Non-Ferrous Metals,1140.55
Italy,1.A.2.c  Chemicals,11585.03
Italy,1.A.2.d  Pulp Paper and Print,4916
Italy,1.A.2.e  Food Processing Beverages and Tobacco,3753.87
Italy,1.A.2.f  Non-metallic Minerals,12286.22
Italy,1.A.2.g  Other,10147.9
Italy,1.A.3  Transport,104263.14
Italy,1.A.3.a  Domestic Aviation,2338.31
Italy,1.A.3.b  Road Transportation,96865.93
Italy,1.A.3.b.i  Cars,67093.2
Italy,1.A.3.b.ii  Light Duty Trucks,10542.45
Italy,1.A.3.b.iii  Heavy Duty Trucks and Buses,16900.42
Italy,1.A.3.b.iv  Motorcycles,2329.86
Italy,1.A.3.c  Railways,154.84
Italy,1.A.3.d  Domestic Navigation,4098.92
Italy,1.A.3.e  Other Transportation,805.13
Italy,1.A.3.e.i  Pipeline Transport,805.13
Italy,1.A.4  Other Sectors,83172.6
Italy,1.A.4.a  Commercial/Institutional,25274.37
Italy,1.A.4.b  Residential,49650.92
Italy,1.A.4.c  Agriculture/Forestry/Fishing,8247.31
Italy,1.A.5  Other (Not specified elsewhere),351.3
Italy,1.B  Fugitive Emissions from Fuels,6799.32
Italy,1.B.1  Solid Fuels,34.28
Italy,1.B.1.a  Coal Mining and Handling,9.97
Italy,1.B.1.b  Solid Fuel Transformation,24.31
Italy,1.B.2  Oil and Natural Gas and Other Emissions from Energy Production,6765.04
Italy,1.B.2.a  Oil,1864.42
Italy,1.B.2.b  Natural Gas,4125.59
Italy,1.B.2.c  Venting and Flaring,496.71
Italy,1.B.2.d  Other,278.31
Italy,2.  Industrial Processes and Product Use,34724.28
Italy,2.A  Mineral Industry,10899.86
Italy,2.A.4  Other Process Uses of Carbonates,670.57
Italy,2.B  Chemical Industry,3248.15
Italy,2.C  Metal Industry,1730.91
Italy,2.C.1  Iron and Steel Production,1475.84
Italy,2.C.4  Magnesium Production,9.73
Italy,2.C.6  Zinc Production,245.34
Italy,2.D  Non-energy Products from Fuels and Solvent Use,1096.72
Italy,2.E  Electronics Industry,246.02
Italy,2.F  Product Uses as Substitutes for ODS,16551.56
Italy,2.G  Other Product Manufacture and Use,951.06
Italy,3.  Agriculture,30186.58
Italy,3.A  Enteric Fermentation,14202.26
Italy,3.B  Manure Management,5669.99
Italy,3.C  Rice Cultivation,1553.04
Italy,3.D  Agricultural Soils,8321.84
Italy,3.F  Field Burning of Agricultural Residues,18.74
Italy,3.G  Liming,15.45
Italy,4.  Land Use Land-Use Change and Forestry,-36265.89
Italy,4.A  Forest Land,-33392.51
Italy,4.B  Cropland,-32.05
Italy,4.C  Grassland,-8271.38
Italy,4.D  Wetlands,52.69
Italy,4.E  Settlements,5546.82
Italy,4.G  Harvested Wood Products,-183.45
Italy,5.  Waste,18290.07
Italy,5.A  Solid Waste Disposal,13704.33
Italy,5.B  Biological Treatment of Solid Waste,633.65
Italy,5.C  Incineration and Open Burning of Waste,165.06
Italy,5.D  Wastewater Treatment and Discharge,3787.03
Japan,1.  Energy,1085718.54
Japan,1.AA  Fuel Combustion - Sectoral approach,1084563.71
Japan,1.A.1  Energy Industries,474853.98
Japan,1.A.1.a  Public Electricity and Heat Production,420273.3
Japan,1.A.1.b  Petroleum Refining,36508.28
Japan,1.A.1.c  Manufacture of Solid Fuels and Other Energy Industries,18072.4
Japan,1.A.2  Manufacturing Industries and Construction,264928.85
Japan,1.A.2.a  Iron and Steel,136556.74
Japan,1.A.2.b  Non-Ferrous Metals,3132.66
Japan,1.A.2.c  Chemicals,40927.43
Japan,1.A.2.d  Pulp Paper and Print,20616.13
Japan,1.A.2.e  Food Processing Beverages and Tobacco,8223.98
Japan,1.A.2.f  Non-metallic Minerals,27208.95
Japan,1.A.2.g  Other,28262.95
Japan,1.A.3  Transport,204710.47
Japan,1.A.3.a  Domestic Aviation,10629.62
Japan,1.A.3.b  Road Transportation,182873.95
Japan,1.A.3.b.i  Cars,99904.05
Japan,1.A.3.b.iii  Heavy Duty Trucks and Buses,82172.1
Japan,1.A.3.b.iv  Motorcycles,797.8
Japan,1.A.3.c  Railways,557.08
Japan,1.A.3.d  Domestic Navigation,10649.81
Japan,1.A.4  Other Sectors,140070.41
Japan,1.A.4.a  Commercial/Institutional,72258.31
Japan,1.A.4.b  Residential,52354.4
Japan,1.A.4.c  Agriculture/Forestry/Fishing,15457.71
Japan,1.B  Fugitive Emissions from Fuels,1154.83
Japan,1.B.1  Solid Fuels,479.21
Japan,1.B.1.a  Coal Mining and Handling,462.92
Japan,1.B.1.a.ii  Surface Mines,14.1
Japan,1.B.1.b  Solid Fuel Transformation,16.28
Japan,1.B.2  Oil and Natural Gas and Other Emissions from Energy Production,675.62
Japan,1.B.2.a  Oil,18.18
Japan,1.B.2.b  Natural Gas,232.94
Japan,1.B.2.c  Venting and Flaring,246.16
Japan,1.B.2.d  Other,178.34
Japan,2.  Industrial Processes and Product Use,100105.03
Japan,2.A  Mineral Industry,33707.09
Japan,2.A.4  Other Process Uses of Carbonates,1659.29
Japan,2.B  Chemical Industry,5039.79
Japan,2.C  Metal Industry,6005.53
Japan,2.C.1  Iron and Steel Production,5727.37
Japan,2.C.2  Ferroalloys Production,2.85
Japan,2.C.4  Magnesium Production,275.32
Japan,2.D  Non-energy Products from Fuels and Solvent Use,2643.96
Japan,2.E  Electronics Industry,2541.73
Japan,2.F  Product Uses as Substitutes for ODS,48277.61
Japan,2.G  Other Product Manufacture and Use,1783.98
Japan,2.H  Other,105.33
Japan,3.  Agriculture,33252.43
Japan,3.A  Enteric Fermentation,7465.58
Japan,3.B  Manure Management,6245.21
Japan,3.C  Rice Cultivation,13560.65
Japan,3.D  Agricultural Soils,5411.67
Japan,3.F  Field Burning of Agricultural Residues,82.97
Japan,3.G  Liming,293.54
Japan,4.  Land Use Land-Use Change and Forestry,-57390.07
Japan,4.A  Forest Land,-58894.91
Japan,4.B  Cropland,3590.56
Japan,4.C  Grassland,-235.98
Japan,4.D  Wetlands,17.3
Japan,4.E  Settlements,-26.86
Japan,4.F  Other Land,166.26
Japan,4.G  Harvested Wood Products,-2046.01
Japan,5.  Waste,19266.71
Japan,5.A  Solid Waste Disposal,2930.29
Japan,5.B  Biological Treatment of Solid Waste,385.02
Japan,5.C  Incineration and Open Burning of Waste,11678.28
Japan,5.D  Wastewater Treatment and Discharge,3599.78
Russian Federation,1.  Energy,1752621.26
Russian Federation,1.AA  Fuel Combustion - Sectoral approach,1473427.81
Russian Federation,1.A.1  Energy Industries,825088.89
Russian Federation,1.A.1.a  Public Electricity and Heat Production,738415.55
Russian Federation,1.A.1.a.ii  Combined Heat and Power Generation,738415.55
Russian Federation,1.A.1.b  Petroleum Refining,54252.68
Russian Federation,1.A.1.c  Manufacture of Solid Fuels and Other Energy Industries,32420.65
Russian Federation,1.A.1.c.i  Manufacture of Solid Fuels,1610.49
Russian Federation,1.A.1.c.ii  Oil and Gas Extraction,30810.16
Russian Federation,1.A.2  Manufacturing Industries and Construction,166829.51
Russian Federation,1.A.2.a  Iron and Steel,48539.35
Russian Federation,1.A.2.c  Chemicals,11524.12
Russian Federation,1.A.2.d  Pulp Paper and Print,10539.29
Russian Federation,1.A.2.e  Food Processing Beverages and Tobacco,6291.12
Russian Federation,1.A.2.f  Non-metallic Minerals,22236.82
Russian Federation,1.A.2.g  Other,67698.81
Russian Federation,1.A.2.g.viii  Other,67698.81
Russian Federation,1.A.3  Transport,254077.22
Russian Federation,1.A.3.a  Domestic Aviation,12659.59
Russian Federation,1.A.3.b  Road Transportation,161266.29
Russian Federation,1.A.3.b.i  Cars,95727.04
Russian Federation,1.A.3.b.ii  Light Duty Trucks,16777.43
Russian Federation,1.A.3.b.iii  Heavy Duty Trucks and Buses,47990.87
Russian Federation,1.A.3.b.iv  Motorcycles,770.95
Russian Federation,1.A.3.c  Railways,8993.03
Russian Federation,1.A.3.d  Domestic Navigation,2460.58
Russian Federation,1.A.3.e  Other Transportation,68697.73
Russian Federation,1.A.3.e.i  Pipeline Transport,68697.73
Russian Federation,1.A.4  Other Sectors,207834.5
Russian Federation,1.A.4.a  Commercial/Institutional,5516.12
Russian Federation,1.A.4.b  Residential,186004.05
Russian Federation,1.A.4.c  Agriculture/Forestry/Fishing,16314.33
Russian Federation,1.A.5  Other (Not specified elsewhere),19597.7
Russian Federation,1.B  Fugitive Emissions from Fuels,279193.45
Russian Federation,1.B.1  Solid Fuels,68493.21
Russian Federation,1.B.1.a  Coal Mining and Handling,68493.21
Russian Federation,1.B.1.a.ii  Surface Mines,31942.04
Russian Federation,1.B.2  Oil and Natural Gas and Other Emissions from Energy Production,210700.24
Russian Federation,1.B.2.a  Oil,38406.17
Russian Federation,1.B.2.b  Natural Gas,124127.86
Russian Federation,1.B.2.c  Venting and Flaring,48166.21
Russian Federation,2.  Industrial Processes and Product Use,243136.92
Russian Federation,2.A  Mineral Industry,36896.21
Russian Federation,2.A.4  Other Process Uses of Carbonates,7082.43
Russian Federation,2.B  Chemical Industry,77763.46
Russian Federation,2.C  Metal Industry,106820.91
Russian Federation,2.C.1  Iron and Steel Production,94359.7
Russian Federation,2.C.2  Ferroalloys Production,3412.35
Russian Federation,2.C.3  Aluminium Production,8803.97
Russian Federation,2.C.5  Lead Production,79.89
Russian Federation,2.C.6  Zinc Production,165.01
Russian Federation,2.D  Non-energy Products from Fuels and Solvent Use,1492.35
Russian Federation,2.E  Electronics Industry,19.35
Russian Federation,2.F  Product Uses as Substitutes for ODS,18703.38
Russian Federation,2.G  Other Product Manufacture and Use,1441.24
Russian Federation,3.  Agriculture,126659.42
Russian Federation,3.A  Enteric Fermentation,48964.31
Russian Federation,3.B  Manure Management,14620.61
Russian Federation,3.C  Rice Cultivation,562.28
Russian Federation,3.D  Agricultural Soils,61533.32
Russian Federation,3.G  Liming,795.44
Russian Federation,4.  Land Use Land-Use Change and Forestry,-590573.1
Russian Federation,4.A  Forest Land,-635361.89
Russian Federation,4.B  Cropland,69599.23
Russian Federation,4.C  Grassland,-54191.9
Russian Federation,4.D  Wetlands,2382
Russian Federation,4.E  Settlements,9366.23
Russian Federation,4.F  Other Land,1868.9
Russian Federation,4.G  Harvested Wood Products,15667.15
Russian Federation,5.  Waste,97705.35
Russian Federation,5.A  Solid Waste Disposal,70613.42
Russian Federation,5.B  Biological Treatment of Solid Waste,11.25
Russian Federation,5.D  Wastewater Treatment and Discharge,27080.68
Sweden,1.  Energy,36401.63
Sweden,1.AA  Fuel Combustion - Sectoral approach,35518.72
Sweden,1.A.1  Energy Industries,9423.26
Sweden,1.A.1.a  Public Electricity and Heat Production,7003.82
Sweden,1.A.1.a.i  Electricity Generation,22.12
Sweden,1.A.1.a.ii  Combined Heat and Power Generation,6185.05
Sweden,1.A.1.a.iii  Heat Plants,796.65
Sweden,1.A.1.b  Petroleum Refining,2057.34
Sweden,1.A.1.c  Manufacture of Solid Fuels and Other Energy Industries,362.1
Sweden,1.A.1.c.i  Manufacture of Solid Fuels,362.1
Sweden,1.A.2  Manufacturing Industries and Construction,6910.55
Sweden,1.A.2.a  Iron and Steel,1343.43
Sweden,1.A.2.b  Non-Ferrous Metals,99.67
Sweden,1.A.2.c  Chemicals,559.05
Sweden,1.A.2.d  Pulp Paper and Print,866.24
Sweden,1.A.2.e  Food Processing Beverages and Tobacco,325.37
Sweden,1.A.2.f  Non-metallic Minerals,1205.12
Sweden,1.A.2.g  Other,2511.66
Sweden,1.A.2.g.vii  Off-road Vehicles and Other Machinery,1288.47
Sweden,1.A.2.g.viii  Other,1223.19
Sweden,1.A.3  Transport,16472.29
Sweden,1.A.3.a  Domestic Aviation,530.92
Sweden,1.A.3.b  Road Transportation,14980.26
Sweden,1.A.3.b.i  Cars,10006.7
Sweden,1.A.3.b.ii  Light Duty Trucks,1470.59
Sweden,1.A.3.b.iii  Heavy Duty Trucks and Buses,3423.6
Sweden,1.A.3.b.iv  Motorcycles,79.37
Sweden,1.A.3.c  Railways,44.31
Sweden,1.A.3.d  Domestic Navigation,738.06
Sweden,1.A.3.e  Other Transportation,178.74
Sweden,1.A.3.e.i  Pipeline Transport,2.17
Sweden,1.A.3.e.ii  Other,176.57
Sweden,1.A.4  Other Sectors,2543.1
Sweden,1.A.4.a  Commercial/Institutional,707.19
Sweden,1.A.4.b  Residential,583.26
Sweden,1.A.4.c  Agriculture/Forestry/Fishing,1252.66
Sweden,1.A.5  Other (Not specified elsewhere),169.52
Sweden,1.B  Fugitive Emissions from Fuels,882.91
Sweden,1.B.1  Solid Fuels,4.44
Sweden,1.B.1.c  Other,4.44
Sweden,1.B.2  Oil and Natural Gas and Other Emissions from Energy Production,878.46
Sweden,1.B.2.a  Oil,809.7
Sweden,1.B.2.b  Natural Gas,31.13
Sweden,1.B.2.c  Venting and Flaring,37.63
Sweden,2.  Industrial Processes and Product Use,7341.82
Sweden,2.A  Mineral Industry,2030.23
Sweden,2.A.4  Other Process Uses of Carbonates,19.06
Sweden,2.B  Chemical Industry,900.37
Sweden,2.C  Metal Industry,2678.42
Sweden,2.C.1  Iron and Steel Production,1977.91
Sweden,2.C.3  Aluminium Production,249.23
Sweden,2.C.4  Magnesium Production,0.41
Sweden,2.D  Non-energy Products from Fuels and Solvent Use,442.47
Sweden,2.F  Product Uses as Substitutes for ODS,1034.8
Sweden,2.G  Other Product Manufacture and Use,149.02
Sweden,2.H  Other,106.51
Sweden,3.  Agriculture,6790.17
Sweden,3.A  Enteric Fermentation,3006.81
Sweden,3.B  Manure Management,596.08
Sweden,3.D  Agricultural Soils,3058.74
Sweden,3.G  Liming,126.7
Sweden,4.  Land Use Land-Use Change and Forestry,-41993.96
Sweden,4.A  Forest Land,-43418.76
Sweden,4.B  Cropland,4037.01
Sweden,4.C  Grassland,-113.26
Sweden,4.D  Wetlands,241.75
Sweden,4.E  Settlements,2926.65
Sweden,4.F  Other Land,32.07
Sweden,4.G  Harvested Wood Products,-5702.33
Sweden,5.  Waste,1245.62
Sweden,5.A  Solid Waste Disposal,781.53
Sweden,5.B  Biological Treatment of Solid Waste,105.2
Sweden,5.C  Incineration and Open Burning of Waste,129.54
Sweden,5.D  Wastewater Treatment and Discharge,229.36
United States of America,1.  Energy,5547207.94
United States of America,1.AA  Fuel Combustion - Sectoral approach,5233213.44
United States of America,1.A.1  Energy Industries,1927683
United States of America,1.A.1.a  Public Electricity and Heat Production,1778460.13
United States of America,1.A.1.a.i  Electricity Generation,1778460.13
United States of America,1.A.1.b  Petroleum Refining,92313.15
United States of America,1.A.1.c  Manufacture of Solid Fuels and Other Energy Industries,56909.72
United States of America,1.A.1.c.i  Manufacture of Solid Fuels,56909.72
United States of America,1.A.2  Manufacturing Industries and Construction,687957.59
United States of America,1.A.2.a  Iron and Steel,14808.42
United States of America,1.A.2.b  Non-Ferrous Metals,3703.23
United States of America,1.A.2.c  Chemicals,85049.15
United States of America,1.A.2.d  Pulp Paper and Print,29353
United States of America,1.A.2.e  Food Processing Beverages and Tobacco,33726.41
United States of America,1.A.2.f  Non-metallic Minerals,22483.49
United States of America,1.A.2.g  Other,498833.9
United States of America,1.A.2.g.viii  Other,498833.9
United States of America,1.A.3  Transport,1821574.7
United States of America,1.A.3.a  Domestic Aviation,162545.04
United States of America,1.A.3.b  Road Transportation,1532630.01
United States of America,1.A.3.b.i  Cars,765966.58
United States of America,1.A.3.b.ii  Light Duty Trucks,309945.7
United States of America,1.A.3.b.iii  Heavy Duty Trucks and Buses,452854.12
United States of America,1.A.3.b.iv  Motorcycles,3863.61
United States of America,1.A.3.c  Railways,39276.2
United States of America,1.A.3.d  Domestic Navigation,33743.86
United States of America,1.A.3.e  Other Transportation,53379.58
United States of America,1.A.3.e.i  Pipeline Transport,49176.11
United States of America,1.A.3.e.ii  Other,4203.47
United States of America,1.A.4  Other Sectors,591017.55
United States of America,1.A.4.a  Commercial/Institutional,248054.53
United States of America,1.A.4.b  Residential,342684.13
United States of America,1.A.4.c  Agriculture/Forestry/Fishing,278.89
United States of America,1.A.5  Other (Not specified elsewhere),204980.59
United States of America,1.B  Fugitive Emissions from Fuels,313994.49
United States of America,1.B.1  Solid Fuels,58918.47
United States of America,1.B.1.a  Coal Mining and Handling,58918.47
United States of America,1.B.1.a.ii  Surface Mines,8526.91
United States of America,1.B.2  Oil and Natural Gas and Other Emissions from Energy Production,255076.03
United States of America,1.B.2.a  Oil,78718.38
United States of America,1.B.2.b  Natural Gas,176288.47
United States of America,1.B.2.c  Venting and Flaring,69.17
United States of America,2.  Industrial Processes and Product Use,376501.56
United States of America,2.A  Mineral Industry,64763.85
United States of America,2.A.4  Other Process Uses of Carbonates,9954.1
United States of America,2.B  Chemical Industry,80102.61
United States of America,2.C  Metal Industry,50432.29
United States of America,2.C.1  Iron and Steel Production,42608.25
United States of America,2.C.2  Ferroalloys Production,2077.32
United States of America,2.C.3  Aluminium Production,3028.05
United States of America,2.C.4  Magnesium Production,1196.55
United States of America,2.C.5  Lead Production,513
United States of America,2.C.6  Zinc Production,1009.11
United States of America,2.E  Electronics Industry,4805.26
United States of America,2.F  Product Uses as Substitutes for ODS,167859.09
United States of America,2.G  Other Product Manufacture and Use,8282.93
United States of America,2.H  Other,255.53
United States of America,3.  Agriculture,618501.74
United States of America,3.A  Enteric Fermentation,177573.78
United States of America,3.B  Manure Management,81128.66
United States of America,3.C  Rice Cultivation,13328.98
United States of America,3.D  Agricultural Soils,338155.86
United States of America,3.F  Field Burning of Agricultural Residues,568.96
United States of America,3.G  Liming,3147.26
United States of America,4.  Land Use Land-Use Change and Forestry,-773496.36
United States of America,4.A  Forest Land,-655816.73
United States of America,4.B  Cropland,38730.97
United States of America,4.C  Grassland,-12769.32
United States of America,4.D  Wetlands,-725.98
United States of America,4.E  Settlements,-45460.19
United States of America,4.G  Harvested Wood Products,-98782
United States of America,5.  Waste,134438.38
United States of America,5.A  Solid Waste Disposal,110559.66
United States of America,5.B  Biological Treatment of Solid Waste,4658.14
United States of America,5.D  Wastewater Treatment and Discharge,19220.59