level,new_level,name
1.,1,Energy
1.AA,N/A,N/A
1.A.1,1.A,Energy Industries
1.A.1.a,1.A.1,"Electricity, Heat"
1.A.1.b,1.A.2,Petroleum Refining
1.A.1.c,1.A.3,"Solid Fuels, Other Ind."
1.A.1.c.i,N/A,N/A
1.A.1.c.ii,N/A,N/A
1.A.1.c.iii,N/A,N/A
1.A.2,1.B,"Manufacturing, Construction"
1.A.2.a,N/A,N/A
1.A.2.b,N/A,N/A
1.A.2.c,N/A,N/A
1.A.2.d,N/A,N/A
1.A.2.e,N/A,N/A
1.A.2.f,N/A,N/A
1.A.2.g,N/A,N/A
1.A.2.g.i,N/A,N/A
1.A.2.g.iii,N/A,N/A
1.A.2.g.v,N/A,N/A
1.A.2.g.vi,N/A,N/A
1.A.2.g.viii,N/A,N/A
1.A.3,1.C,Transport
1.A.3.a,1.C.1,Domestic Aviation
1.A.3.b,1.C.2,Road
1.A.3.b.i,N/A,N/A
1.A.3.b.ii,N/A,N/A
1.A.3.b.iii,N/A,N/A
1.A.3.b.iv,N/A,N/A
1.A.3.c,1.C.3,Railways
1.A.3.d,1.C.4,Other transportation
1.A.3.e,1.C.5,Other transportation
1.A.3.e.i,N/A,N/A
1.A.3.e.ii,N/A,N/A
1.A.4,1.D,Other sector
1.A.4.a,N/A,N/A
1.A.4.b,N/A,N/A
1.A.4.c,N/A,N/A
1.A.5,1.E,Other
1.B,1.F,Fugitive emissions
1.B.1,1.F.1,"Coal, solid fuels"
1.B.1.a,N/A,N/A
1.B.1.a.ii,N/A,N/A
1.B.1.c,N/A,N/A
1.B.2,1.F.2,"Oil, gas and flaring"
1.B.2.a,N/A,N/A
1.B.2.b,N/A,N/A
1.B.2.c,N/A,N/A
2.,2,Industry
2.A,2.A,Mineral
2.B,2.B,Chemical
2.C,2.C,Metal
2.C.3,N/A,N/A
2.C.7,N/A,N/A
2.D,2.D,"Fuels, Solvent Use"
2.F,2.F,Substitutes for ODS
2.G,2.G,Other industry
2.H,2.H,Other industry
3.,3,Agriculture
3.A,3.A,Enteric Fermentation
3.B,3.B,Manure Management
3.C,3.C,Rice Cultivation
3.D,3.D,Agricultural Soils
3.F,3.F,Field Burning
3.G,3.G,Liming
3.H,3.H,Urea Application
5.,4,Waste
5.A,4.A,Solid Waste Disposal
5.B,4.B,Biological Treatment
5.C,4.C,Incineration
5.D,4.D,Wastewater Treatment and Discharge